2022-12-29 11:03:27,367 - DEBUG - start
2022-12-29 11:03:41,546 - DEBUG - start
2022-12-29 11:03:41,546 - DEBUG - in enter
2022-12-29 11:03:41,551 - DEBUG - in with
2022-12-29 11:03:41,551 - DEBUG - in exit
2022-12-29 11:04:01,754 - DEBUG: start
2022-12-29 11:04:01,755 - DEBUG: in enter
2022-12-29 11:04:01,760 - DEBUG: in with
2022-12-29 11:04:01,760 - DEBUG: in exit
2022-12-29 11:08:32,543 - DEBUG: start
2022-12-29 11:08:32,543 - DEBUG: in enter
2022-12-29 11:08:32,548 - DEBUG: in with
2022-12-29 11:08:32,548 - DEBUG: in exit
2022-12-29 11:13:28,357 - DEBUG: hi
2022-12-29 11:14:55,195 - DEBUG: hi
2022-12-29 11:15:12,769 - DEBUG: hi
2022-12-29 11:15:56,680 - DEBUG: hi
2022-12-29 11:16:16,215 - DEBUG: hi
2022-12-29 11:16:22,361 - DEBUG: hi
2022-12-29 11:21:54,848 - DEBUG: hi
2022-12-29 11:21:54,853 - DEBUG: bye
2022-12-29 11:22:17,805 - DEBUG: hi
2022-12-29 11:22:17,810 - DEBUG: bye
2022-12-29 11:22:46,400 - DEBUG: hi
2022-12-29 11:22:46,405 - DEBUG: bye
